MinXscore,MaxXscore,BinNumber
- infinity,-1.498189608,61
-1.498189608,-1.383752808,60
-1.383752808,-1.343236693,59
-1.343236693,-1.307632657,58
-1.307632657,-1.247872867,57
-1.247872867,-1.198036834,56
-1.198036834,-1.154058014,55
-1.154058014,-1.113383819,54
-1.113383819,-1.076492195,53
-1.076492195,-1.041025635,52
-1.041025635,-1.00763798,51
-1.00763798,-0.946612372,50
-0.946612372,-0.88932842,49
-0.88932842,-0.835566707,48
-0.835566707,-0.784398353,47
-0.784398353,-0.735764365,46
-0.735764365,-0.677458128,45
-0.677458128,-0.621590086,44
-0.621590086,-0.567203568,43
-0.567203568,-0.514399524,42
-0.514399524,-0.462118196,41
-0.462118196,-0.411488013,40
-0.411488013,-0.361188285,39
-0.361188285,-0.311158487,38
-0.311158487,-0.260980566,37
-0.260980566,-0.210685187,36
-0.210685187,-0.160173457,35
-0.160173457,-0.108900128,34
-0.108900128,-0.057059183,33
-0.057059183,-0.003663823,32
-0.003663823,0.050882109,31
0.050882109,0.106191609,30
0.106191609,0.164144296,29
0.164144296,0.223856809,28
0.223856809,0.28577849,27
0.28577849,0.350797273,26
0.350797273,0.420075632,25
0.420075632,0.493624384,24
0.493624384,0.57391886,23
0.57391886,0.660193493,22
0.660193493,0.737655669,21
0.737655669,0.820086425,20
0.820086425,0.911719515,19
0.911719515,1.015847961,18
1.015847961,1.137294001,17
1.137294001,1.204578932,16
1.204578932,1.278400576,15
1.278400576,1.362423574,14
1.362423574,1.458079124,13
1.458079124,1.572674643,12
1.572674643,1.713627787,11
1.713627787,1.89081777,10
1.89081777,2.004855427,9
2.004855427,2.14362251,8
2.14362251,2.328967902,7
2.328967902,2.593115972,6
2.593115972,2.738900401,5
2.738900401,2.927038372,4
2.927038372,3.183044196,3
3.183044196,3.599967238,2
3.599967238,infinity,1
